timestamp,src_ip,dst_ip,protocol,sport,dport
2025-11-25T17:53:17.878667,192.168.31.131,192.168.31.1,UDP,56417,53
2025-11-25T17:53:17.887938,192.168.31.131,192.168.31.1,UDP,58396,53
2025-11-25T17:53:17.922950,140.82.112.26,192.168.31.131,TCP,443,60861
2025-11-25T17:53:17.924934,192.168.31.1,192.168.31.131,UDP,53,58396
2025-11-25T17:53:17.927966,192.168.31.1,192.168.31.131,UDP,53,56417
2025-11-25T17:53:17.929541,192.168.31.131,20.189.173.5,TCP,54404,443
2025-11-25T17:53:17.969266,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:53:18.117902,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:18.121419,192.168.31.131,20.189.173.5,TCP,54404,443
2025-11-25T17:53:18.123455,192.168.31.131,20.189.173.5,TCP,54404,443
2025-11-25T17:53:18.336254,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:18.337810,192.168.31.131,20.189.173.5,TCP,54404,443
2025-11-25T17:53:18.558972,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:18.560966,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:18.563481,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:18.565486,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:18.568000,192.168.31.131,20.189.173.5,TCP,54404,443
2025-11-25T17:53:18.569043,192.168.31.131,20.189.173.5,TCP,54404,443
2025-11-25T17:53:18.777888,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:18.780910,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:18.782916,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:18.783944,192.168.31.131,20.189.173.5,TCP,54404,443
2025-11-25T17:53:18.785950,192.168.31.131,20.189.173.5,TCP,54404,443
2025-11-25T17:53:18.787843,192.168.31.131,20.189.173.5,TCP,54404,443
2025-11-25T17:53:18.992754,20.189.173.5,192.168.31.131,TCP,443,54404
2025-11-25T17:53:21.476455,192.168.31.131,192.168.31.1,UDP,58396,53
2025-11-25T17:53:21.479036,192.168.31.131,192.168.31.1,UDP,56417,53
2025-11-25T17:53:21.493621,192.168.31.1,192.168.31.131,UDP,53,56417
2025-11-25T17:53:21.496621,192.168.31.1,192.168.31.131,UDP,53,58396
2025-11-25T17:53:21.500145,192.168.31.131,3.33.252.61,TCP,54407,443
2025-11-25T17:53:21.551745,3.33.252.61,192.168.31.131,TCP,443,54407
2025-11-25T17:53:21.553741,192.168.31.131,3.33.252.61,TCP,54407,443
2025-11-25T17:53:21.555745,192.168.31.131,3.33.252.61,TCP,54407,443
2025-11-25T17:53:21.599664,3.33.252.61,192.168.31.131,TCP,443,54407
2025-11-25T17:53:21.602673,192.168.31.131,3.33.252.61,TCP,54407,443
2025-11-25T17:53:21.604672,192.168.31.131,3.33.252.61,TCP,54407,443
2025-11-25T17:53:21.649110,3.33.252.61,192.168.31.131,TCP,443,54407
2025-11-25T17:53:22.505916,192.168.31.1,224.0.0.1,OTHER,,
2025-11-25T17:53:22.618166,192.168.31.131,192.168.31.1,UDP,49545,53
2025-11-25T17:53:22.620413,192.168.31.131,192.168.31.1,UDP,54152,53
2025-11-25T17:53:22.644062,192.168.31.1,192.168.31.131,UDP,53,49545
2025-11-25T17:53:22.646066,192.168.31.1,192.168.31.131,UDP,53,54152
2025-11-25T17:53:22.648999,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:22.695634,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:22.698145,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:22.700159,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:22.745821,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:22.925558,192.168.31.131,192.168.31.255,UDP,57621,57621
2025-11-25T17:53:22.970077,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:53:23.342624,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.344623,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.346629,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.348182,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.350191,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.352234,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.354647,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.356650,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.358177,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.360271,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.361810,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.366997,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.367981,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.370547,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.371911,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.373913,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.402026,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.450902,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.575708,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.636868,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.649191,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.651191,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.662544,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.667044,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.696440,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.698970,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.700972,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.702164,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.844306,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.896101,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.916610,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.919127,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.920124,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.933841,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.963209,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:23.965208,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:23.974228,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:53:24.948391,192.168.31.131,104.208.16.92,TCP,54398,443
2025-11-25T17:53:24.951591,192.168.31.131,104.208.16.92,TCP,54398,443
2025-11-25T17:53:24.954021,192.168.31.131,104.208.16.92,TCP,54398,443
2025-11-25T17:53:25.207971,104.208.16.92,192.168.31.131,TCP,443,54398
2025-11-25T17:53:25.209484,104.208.16.92,192.168.31.131,TCP,443,54398
2025-11-25T17:53:25.210489,104.208.16.92,192.168.31.131,TCP,443,54398
2025-11-25T17:53:25.211491,104.208.16.92,192.168.31.131,TCP,443,54398
2025-11-25T17:53:25.213963,104.208.16.92,192.168.31.131,TCP,443,54398
2025-11-25T17:53:25.259924,192.168.31.131,104.208.16.92,TCP,54398,443
2025-11-25T17:53:25.485999,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:25.510192,104.208.16.92,192.168.31.131,TCP,443,54398
2025-11-25T17:53:25.512203,192.168.31.131,104.208.16.92,TCP,54398,443
2025-11-25T17:53:25.535472,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:25.697157,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:25.740710,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:25.742710,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:25.779663,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:25.815440,104.208.16.92,192.168.31.131,TCP,443,54398
2025-11-25T17:53:26.005830,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:26.007830,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:26.010538,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:26.012742,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:26.015209,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:26.266120,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:26.268948,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:26.271232,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:26.274234,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:26.275234,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:26.316932,3.33.252.61,192.168.31.131,TCP,5222,54408
2025-11-25T17:53:26.372174,192.168.31.131,3.33.252.61,TCP,54408,5222
2025-11-25T17:53:28.239060,192.168.31.1,224.0.0.1,OTHER,,
2025-11-25T17:53:28.973338,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:53:29.471134,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:53:29.635925,192.168.31.131,192.178.177.94,UDP,62222,443
