timestamp,src_ip,dst_ip,protocol,sport,dport
2025-11-25T17:42:15.874621,192.168.31.1,224.0.0.1,OTHER,,
2025-11-25T17:42:15.972063,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:16.681055,192.168.31.131,20.42.73.30,TCP,53966,443
2025-11-25T17:42:16.891310,20.42.73.30,192.168.31.131,TCP,443,53966
2025-11-25T17:42:16.893829,192.168.31.131,20.42.73.30,TCP,53966,443
2025-11-25T17:42:16.976636,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:22.018226,192.168.31.1,224.0.0.1,OTHER,,
2025-11-25T17:42:22.485482,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:22.766383,192.168.31.131,192.168.31.255,UDP,57621,57621
2025-11-25T17:42:22.970055,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:23.470277,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:24.245743,192.168.31.131,192.168.31.1,UDP,58394,53
2025-11-25T17:42:24.248766,192.168.31.131,192.168.31.1,UDP,53209,53
2025-11-25T17:42:24.288573,192.168.31.1,192.168.31.131,UDP,53,58394
2025-11-25T17:42:24.292875,192.168.31.1,192.168.31.131,UDP,53,53209
2025-11-25T17:42:24.293873,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:24.480084,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:24.484078,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:24.486643,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:24.682376,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:24.689408,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:24.876912,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:24.884036,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:24.890581,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:24.893669,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:24.895669,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:24.898621,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:25.033598,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:25.038546,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:25.043055,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:25.299904,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:25.307884,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:25.314344,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:25.317941,192.168.31.131,20.213.196.214,TCP,61622,443
2025-11-25T17:42:25.436477,20.213.196.214,192.168.31.131,TCP,443,61622
2025-11-25T17:42:27.958912,192.168.31.1,224.0.0.1,OTHER,,
2025-11-25T17:42:27.975854,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:28.473736,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:28.976162,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:36.109771,192.168.31.131,52.182.143.210,TCP,60461,443
2025-11-25T17:42:36.366585,52.182.143.210,192.168.31.131,TCP,443,60461
2025-11-25T17:42:36.372642,192.168.31.131,52.182.143.210,TCP,60461,443
2025-11-25T17:42:40.046759,192.168.31.1,224.0.0.1,OTHER,,
2025-11-25T17:42:40.476432,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:40.979045,192.168.31.131,224.0.0.22,OTHER,,
2025-11-25T17:42:41.138155,104.199.241.202,192.168.31.131,TCP,4070,60213
2025-11-25T17:42:41.183101,192.168.31.131,104.199.241.202,TCP,60213,4070
2025-11-25T17:42:41.398619,192.168.31.131,140.82.114.25,TCP,55544,443
2025-11-25T17:42:41.634677,140.82.114.25,192.168.31.131,TCP,443,55544
2025-11-25T17:42:41.895698,192.168.31.131,239.255.255.250,UDP,56813,1900
2025-11-25T17:42:42.912150,192.168.31.131,239.255.255.250,UDP,56813,1900
2025-11-25T17:42:43.912681,192.168.31.131,239.255.255.250,UDP,56813,1900
2025-11-25T17:42:44.449875,192.168.31.131,224.0.0.251,UDP,5353,5353
2025-11-25T17:42:44.911579,192.168.31.131,239.255.255.250,UDP,56813,1900
2025-11-25T17:42:45.471027,192.168.49.1,192.168.31.131,UDP,60000,56813
2025-11-25T17:42:45.473512,192.168.31.98,192.168.31.131,UDP,60000,56813
2025-11-25T17:42:45.518248,192.168.49.1,192.168.31.131,UDP,60000,56813
2025-11-25T17:42:45.520251,192.168.31.98,192.168.31.131,UDP,60000,56813
2025-11-25T17:42:45.749013,192.168.49.1,192.168.31.131,UDP,60000,56813
